Item,Category,Licensed,New Item,Retail Price,GM Rate,Profit / Facing @ Eye-Level ($/customer)
Life-Size Animated Butler,Giants & Animatronics,False,False,399.0,0.6042738425009894,38.597330711713894
14 ft Giant Animated Dragon,Giants & Animatronics,False,True,449.0,0.4654788418708241,26.022702510211527
12 ft Giant Skeleton,Giants & Animatronics,False,False,299.0,0.5677900694623103,25.818628369646923
7 ft Animated Reaper,Giants & Animatronics,False,False,279.0,0.5853918434563596,24.693228017000795
16 ft Inflatable Haunted Archway,Inflatables,False,False,199.0,0.4839060165693331,13.831354104475444
5.5 ft LED Skeleton Pony,Giants & Animatronics,False,False,129.0,0.6382428940568475,12.887433624104755
5 ft Skeleton Tombstone,Decor & Accessories,False,False,149.0,0.6122296793437733,12.85091053286235
7 ft Licensed Sitcom Character,Giants & Animatronics,True,True,279.0,0.4121863799283154,12.170905121402757
6 ft Licensed Movie Villain,Giants & Animatronics,True,True,329.0,0.3465045592705167,11.203280366409246
9 ft Animated Pirate Ship,Giants & Animatronics,False,False,399.0,0.4235588972431077,10.821744502537722
